category_1,brand_1,category_2,brand_2,num_households
syrups,Alaga,pasta,Private Label Premium,283
pancake mixes,Hungry Jack,pancake mixes,Pioneer,282
pasta,Barilla,pasta,Colavita,280
pancake mixes,Krusteaz,syrups,Private Label Value,280
pasta sauce,Buitoni,pasta,Private Label,280
pancake mixes,Hungry Jack,syrups,Maple Grove,280
pasta,Barilla,pasta,R&F,279
pancake mixes,Hungry Jack,syrups,Michele's,279
pasta sauce,Bertolli,syrups,Michele's,279
pasta,DaVinci,pasta,Private Label Value,278
syrups,Brier Rabbit,syrups,Mrs Butterworth,278
syrups,Aunt Jemima,pasta sauce,Chef Pizza,277
pasta sauce,Emeril's,syrups,Spring Tree,276
pasta,DaVinci,pasta,Dececco,276
syrups,Brier Rabbit,pasta,Hodgson Mills,276
pasta sauce,Hunt's,pancake mixes,M W Flapstax,274
pasta sauce,Emeril's,syrups,Smuckers,273
pasta sauce,Newman's,syrups,Pennant,272
pasta sauce,Emeril's,syrups,Grandma Molases,272
syrups,Pennant,syrups,Private Label Value,271
pasta sauce,Bertolli,pasta,Pennsylvania Dutch,270
syrups,Brier Rabbit,pasta,No Yolks,268
syrups,Aunt Jemima,pasta,Pennsylvania Dutch,268
syrups,Brier Rabbit,pancake mixes,Hungry Jack,268
pasta,Colavita,pasta,Ronzoni,266
pancake mixes,M W Flapstax,pasta sauce,Private Label,266
pasta,Dececco,pasta sauce,Emeril's,266
pasta,Maggi Spaetzle,pasta,Private Label,265
pancake mixes,Maple Grove,pasta sauce,Newman's,264
pasta sauce,Prego,pasta,R&F,261
pasta sauce,Chef Pizza,syrups,Mrs Butterworth,261
pancake mixes,Hodgson Mills,pancake mixes,Krusteaz,261
pancake mixes,M W Flapstax,pasta,Private Label Premium,260
pasta,Barilla Plus,pasta,DaVinci,260
syrups,Cozy Cottage,syrups,Grandma Molases,260
pasta,Creamette,syrups,Moonlite,259
pancake mixes,Mrs Butterworth,pasta sauce,Private Label Premium,258
pasta,Healthy Harvest,syrups,Northwoods,257
pasta,No Yolks,pasta,Pennsylvania Dutch,257
pancake mixes,Bruce's,pasta,Private Label,257
pasta,Healthy Harvest,pancake mixes,Krusteaz,256
syrups,Karo,pasta,Pennsylvania Dutch,256
syrups,Kellogg,syrups,Private Label Value,256
pancake mixes,Mrs Butterworth,pasta sauce,Newman's,255
pasta,Mueller,syrups,Sobrab Bkstrp,255
pasta,DaVinci,syrups,Northwoods,255
pasta,Colavita,pasta,Private Label,254
pasta,Kraft,pasta,San Giorgio,254
pasta,DaVinci,syrups,Kellogg,254
syrups,Cozy Cottage,syrups,Smuckers,253
pancake mixes,Krusteaz,syrups,Pennant,251
pancake mixes,Aunt Jemima,pasta sauce,Chef Pizza,251
pasta sauce,Bertolli,pasta,Kraft,251
pasta sauce,Newman's,pancake mixes,Private Label Premium,249
pancake mixes,Krusteaz,pancake mixes,Mrs Butterworth,248
pasta,Defino,pasta sauce,Ragu,247
pancake mixes,Bisquick,pancake mixes,Krusteaz,246
syrups,Moonlite,pasta sauce,Ragu,245
pancake mixes,Hodgson Mills,pancake mixes,Maple Grove,245
pasta sauce,Barilla,pasta,Pennsylvania Dutch,245
pasta,Private Label Premium,pasta,R&F,245
syrups,Log Cabin,pancake mixes,Pioneer,244
pasta,Barilla,pasta,Defino,244
syrups,Smuckers,pancake mixes,White Lily,243
pasta,Ronzoni,syrups,Sobrab Bkstrp,243
pasta,Barilla Plus,syrups,Spring Tree,242
syrups,Aunt Jemima,pasta sauce,Candoni,242
pancake mixes,Aunt Jemima,pasta,Kraft,241
syrups,Cary's,syrups,Maple Grove,240
pasta sauce,Hunt's,syrups,Michele's,240
pasta sauce,Private Label Premium,syrups,Private Label Value,240
syrups,Hungry Jack,syrups,Private Label Value,240
syrups,Brier Rabbit,pasta sauce,Private Label Premium,239
syrups,Log Cabin,syrups,Maple Grove,239
pasta sauce,Emeril's,pancake mixes,White Lily,239
syrups,Cary's,syrups,Smuckers,237
pasta sauce,Barilla,pasta sauce,Candoni,237
syrups,Cary's,pancake mixes,White Lily,237
pasta,Barilla,pasta,Maggi Spaetzle,234
pasta,Barilla,pasta sauce,Patsy's,234
pasta,Creamette,pasta,Defino,233
pasta sauce,Patsy's,pasta,Ronzoni,233
pasta,Healthy Harvest,syrups,Smuckers,233
pancake mixes,Hungry Jack,pancake mixes,Maple Grove,233
syrups,Miller,syrups,Northwoods,232
pasta sauce,Chef Pizza,pancake mixes,Hungry Jack,231
pasta sauce,Bertolli,syrups,Sobrab Bkstrp,230
pasta,Barilla Plus,syrups,Grandma Molases,230
syrups,Maple Grove,pasta,No Yolks,230
pasta,Al Dente,pasta,Ronzoni,229
pancake mixes,Aunt Jemima,pasta,Pennsylvania Dutch,228
pasta,Creamette,pasta,Mrs Weiss,227
pasta,Barilla,pasta,Mrs Weiss,226
syrups,Brier Rabbit,syrups,Log Cabin,225
syrups,Karo,pancake mixes,Maple Grove,225
pancake mixes,Mrs Butterworth,syrups,Pennant,224
syrups,Grandma Molases,pancake mixes,Krusteaz,224
syrups,Aunt Jemima,syrups,Sobrab Bkstrp,224
pancake mixes,Bisquick,pasta,Healthy Harvest,223
pasta sauce,Candoni,syrups,Private Label,223
pasta sauce,Hunt's,pancake mixes,Maple Grove,223
pasta,Colavita,pasta sauce,Ragu,222
pasta sauce,Hunt's,syrups,Maple Grove,221
pasta,Hodgson Mills,pancake mixes,Private Label Premium,221
syrups,Brier Rabbit,pasta,Mueller,221
syrups,Michele's,syrups,Private Label Premium,221
pasta sauce,Bertolli,pasta sauce,Chef Pizza,220
pancake mixes,Bisquick,syrups,Smuckers,219
syrups,Cary's,syrups,Grandma Molases,218
syrups,Michele's,syrups,Mrs Butterworth,218
syrups,Brier Rabbit,pasta sauce,Newman's,218
syrups,Maple Grove,syrups,Mrs Butterworth,218
syrups,Alaga,pasta sauce,Classico,218
pasta,Mrs Weiss,pasta sauce,Ragu,217
pasta,No Yolks,pancake mixes,Pioneer,217
pasta,Dreamfield,pancake mixes,Krusteaz,216
syrups,Private Label,pasta,R&F,216
syrups,Maple Grove,syrups,Northwoods,216
pasta,R&F,pasta,San Giorgio,216
pasta,Colavita,pasta,Private Label Premium,216
syrups,Grandma Molases,pasta,Healthy Harvest,215
pancake mixes,Maple Grove,syrups,Mrs Butterworth,215
syrups,Cozy Cottage,syrups,Private Label Value,214
syrups,Mrs Butterworth,pancake mixes,Pioneer,214
pasta sauce,Buitoni,pasta,Ronzoni,214
pancake mixes,Hodgson Mills,pasta,Private Label Value,214
syrups,Brier Rabbit,syrups,Hungry Jack,214
pasta,Hodgson Mills,pancake mixes,Mrs Butterworth,213
pasta,Barilla,pasta sauce,Boves,213
syrups,Alaga,syrups,Mrs Butterworth,213
syrups,Smuckers,syrups,Spring Tree,212
pasta,Hodgson Mills,syrups,Private Label Value,212
syrups,Mrs Butterworth,pasta,Pennsylvania Dutch,212
pancake mixes,Hodgson Mills,syrups,Kellogg,212
pasta,Barilla Plus,syrups,Smuckers,211
pasta,Dreamfield,syrups,Spring Tree,211
pancake mixes,Hodgson Mills,syrups,Smuckers,209
syrups,Kellogg,pancake mixes,Private Label Premium,209
syrups,Maple Grove,pasta sauce,Private Label Premium,209
pasta,Dececco,pasta,Healthy Harvest,208
syrups,Cozy Cottage,pancake mixes,Pioneer,208
pancake mixes,Mrs Butterworth,syrups,Private Label Value,208
pancake mixes,Hungry Jack,pasta,Pennsylvania Dutch,208
pancake mixes,Hungry Jack,pasta,Kraft,208
syrups,Kellogg,syrups,Spring Tree,207
pasta sauce,Chef Pizza,pasta,Mueller,207
pasta sauce,Chef Pizza,syrups,Karo,207
syrups,Michele's,pasta,San Giorgio,207
pancake mixes,Maple Grove,pasta,No Yolks,205
syrups,Karo,syrups,Michele's,205
pasta sauce,Candoni,pasta sauce,Private Label,205
pasta,Hodgson Mills,pancake mixes,Pioneer,204
pancake mixes,Bruce's,pasta sauce,Ragu,203
syrups,Karo,syrups,Sobrab Bkstrp,203
pasta sauce,Buitoni,pasta sauce,Ragu,203
pancake mixes,Classique,pasta,Private Label,202
syrups,Grandma Molases,syrups,Spring Tree,202
pasta sauce,Emeril's,pancake mixes,Hodgson Mills,202
syrups,Cozy Cottage,pancake mixes,Mrs Butterworth,200
pancake mixes,Bisquick,syrups,Cary's,200
pasta,Al Dente,pasta,San Giorgio,199
syrups,Miller,syrups,Private Label,199
pasta,Maggi Spaetzle,pasta,Private Label Premium,198
syrups,Private Label Premium,syrups,Sobrab Bkstrp,197
syrups,Spring Tree,pancake mixes,White Lily,196
pasta,Al Dente,pasta,Mueller,195
pasta,Barilla Plus,pancake mixes,White Lily,194
pasta,Dececco,pasta,Dreamfield,194
syrups,Grandma Molases,syrups,Kellogg,194
pancake mixes,Private Label Premium,pasta,Private Label Value,194
syrups,Karo,pancake mixes,Pioneer,193
pasta,Al Dente,syrups,Aunt Jemima,193
syrups,Brier Rabbit,pasta,Healthy Harvest,192
pancake mixes,M W Flapstax,syrups,Mrs Butterworth,191
pasta,Maggi Spaetzle,pasta sauce,Ragu,190
pasta sauce,Private Label,pasta,R&F,190
pasta,Dreamfield,pancake mixes,Hodgson Mills,189
pasta,Al Dente,syrups,Private Label,189
syrups,Cary's,pasta,DaVinci,189
pasta,Hodgson Mills,pasta,Pennsylvania Dutch,189
pasta,Mueller,pasta,Pennsylvania Dutch,189
pasta,Barilla,pancake mixes,Bruce's,188
pasta sauce,Boves,pasta,Ronzoni,188
pasta sauce,Chef Pizza,pasta,No Yolks,187
pasta,Barilla,pasta sauce,Colavita,187
pasta,DaVinci,pasta,Dreamfield,187
syrups,Miller,pasta sauce,Prego,186
pasta,Alessi,pasta,Private Label,186
pasta,Kraft,syrups,Mrs Butterworth,186
pasta,Alessi,pasta,Barilla,185
pasta sauce,Buitoni,pasta sauce,Classico,184
pasta sauce,Barilla,pasta,Kraft,183
pasta sauce,Chef Pizza,syrups,Hungry Jack,183
syrups,Grandma Molases,pancake mixes,Hodgson Mills,182
pasta sauce,Hunt's,pasta,R&F,181
pasta,Defino,pasta,Private Label Premium,180
syrups,Grandma Molases,syrups,Smuckers,180
pancake mixes,Aunt Jemima,syrups,Miller,179
pasta,Barilla,syrups,Miller,179
pancake mixes,Aunt Jemima,syrups,Sobrab Bkstrp,178
pasta,Mrs Weiss,pasta,Private Label Premium,178
syrups,Cozy Cottage,pancake mixes,Maple Grove,178
syrups,HSE,pasta,Private Label,178
syrups,Log Cabin,syrups,Michele's,178
pasta sauce,Buitoni,pasta,Private Label Premium,177
pasta sauce,Classico,pasta,Colavita,177
pancake mixes,Private Label Premium,syrups,Smuckers,177
pasta,Al Dente,pasta sauce,Barilla,176
pasta,Barilla Plus,pasta,Dececco,176
syrups,Pennant,syrups,Smuckers,176
pancake mixes,Maple Grove,pasta,San Giorgio,176
pasta,Pennsylvania Dutch,pasta sauce,Private Label Premium,175
syrups,Alaga,syrups,Karo,175
pasta,Colavita,pasta,Mueller,175
pasta,Barilla,syrups,Moonlite,175
pancake mixes,Bruce's,pasta,Ronzoni,174
pasta,Defino,pasta sauce,Prego,174
pasta sauce,Classico,pancake mixes,M W Flapstax,174
pasta,Hodgson Mills,syrups,Sobrab Bkstrp,174
syrups,Miller,pasta,Ronzoni,174
pasta sauce,Barilla,syrups,Sobrab Bkstrp,174
pasta sauce,Barilla,syrups,Michele's,173
syrups,Grandma Molases,syrups,Pennant,173
pancake mixes,Mrs Butterworth,syrups,Private Label Premium,173
pasta,Creamette,pasta,Maggi Spaetzle,173
pancake mixes,Bisquick,pasta,Dreamfield,172
pancake mixes,Hungry Jack,pancake mixes,M W Flapstax,172
syrups,Aunt Jemima,pancake mixes,M W Flapstax,170
syrups,Miller,pasta sauce,Private Label,170
pasta sauce,Classico,pasta sauce,Patsy's,170
pancake mixes,Pioneer,pasta,San Giorgio,170
pasta sauce,Barilla,pasta sauce,Chef Pizza,169
pancake mixes,Krusteaz,pancake mixes,Pioneer,169
pasta sauce,Patsy's,pasta,Private Label,169
pasta,Notta,pasta,Private Label,169
pasta,Pennsylvania Dutch,pasta,Private Label Value,167
pasta sauce,Buitoni,pasta sauce,Prego,167
pasta sauce,Candoni,pasta sauce,Newman's,167
pasta sauce,Boves,pasta,Private Label,167
pancake mixes,Pioneer,syrups,Private Label Premium,167
syrups,Alaga,pasta,No Yolks,167
pasta sauce,Bertolli,pasta sauce,Buitoni,166
pancake mixes,Maple Grove,syrups,Spring Tree,166
pancake mixes,Aunt Jemima,pasta sauce,Candoni,166
pancake mixes,Bisquick,syrups,Pennant,166
syrups,Moonlite,syrups,Private Label,166
pasta sauce,Buitoni,pasta,Mueller,164
pasta,Al Dente,pasta,Hodgson Mills,164
pasta,Barilla,pancake mixes,Classique,164
pancake mixes,Krusteaz,pancake mixes,Maple Grove,164
syrups,Cary's,syrups,Pennant,164
pasta sauce,Chef Pizza,pasta sauce,Private Label Premium,163
pasta,Dreamfield,syrups,Smuckers,163
pasta,Dreamfield,syrups,Pennant,162
pasta,DaVinci,syrups,Spring Tree,161
pasta,Alessi,pasta sauce,Ragu,161
pancake mixes,Maple Grove,pasta sauce,Private Label Premium,161
pasta,Barilla Plus,pancake mixes,Bisquick,161
pasta sauce,Candoni,pasta sauce,Private Label Premium,161
pasta,Mueller,pasta sauce,Patsy's,160
syrups,Karo,pancake mixes,M W Flapstax,160
pasta sauce,Emeril's,pancake mixes,Mrs Butterworth,159
pancake mixes,Bruce's,pasta,Mueller,159
pasta,Colavita,pasta sauce,Prego,159
syrups,Aunt Jemima,syrups,Miller,159
syrups,Pennant,syrups,Spring Tree,159
syrups,Karo,pasta,Kraft,159
syrups,Log Cabin,pasta,Pennsylvania Dutch,159
syrups,Alaga,pasta sauce,Bertolli,158
pasta,Mrs Weiss,pasta,San Giorgio,158
syrups,Mrs Butterworth,syrups,Sobrab Bkstrp,158
pasta,Dececco,syrups,Northwoods,158
pasta sauce,Newman's,pasta,Pennsylvania Dutch,157
pasta,Dreamfield,syrups,Grandma Molases,157
syrups,Hungry Jack,pasta,Pennsylvania Dutch,156
syrups,Pennant,pasta,Ronzoni,156
pasta sauce,Patsy's,pasta sauce,Ragu,156
syrups,Cozy Cottage,pasta,DaVinci,155
pancake mixes,Classique,pasta sauce,Ragu,155
syrups,Cary's,pancake mixes,Maple Grove,154
pasta,No Yolks,syrups,Sobrab Bkstrp,154
pasta sauce,Bertolli,pasta,Colavita,154
pasta,DaVinci,pancake mixes,White Lily,154
pancake mixes,Hodgson Mills,syrups,Pennant,153
pasta,Kraft,pasta,No Yolks,153
syrups,Moonlite,pasta sauce,Prego,153
syrups,Private Label Premium,syrups,Private Label Value,153
pasta,DaVinci,pancake mixes,Krusteaz,153
pasta sauce,Colavita,pasta,Ronzoni,152
pasta,Creamette,pancake mixes,Pioneer,152
pasta,DaVinci,syrups,Smuckers,152
pasta,Barilla,pasta,Notta,152
pasta sauce,Newman's,pancake mixes,Pioneer,151
pasta,Al Dente,pasta sauce,Newman's,151
pasta,Dececco,syrups,Kellogg,150
syrups,Northwoods,syrups,Sobrab Bkstrp,150
syrups,Michele's,syrups,Northwoods,150
pasta sauce,Emeril's,pancake mixes,Private Label Premium,150
pasta sauce,Newman's,syrups,Private Label Value,148
pasta sauce,Candoni,pasta,Creamette,148
pasta sauce,Patsy's,pasta,Private Label Premium,148
pasta sauce,Colavita,pasta,Private Label,147
syrups,Brier Rabbit,pancake mixes,Private Label,147
pancake mixes,Classique,pasta,Creamette,147
pasta,Defino,syrups,Private Label,147
pasta sauce,Boves,pasta sauce,Classico,147
pasta sauce,Chef Pizza,syrups,Log Cabin,146
pancake mixes,Bisquick,syrups,Spring Tree,146
syrups,Brier Rabbit,pasta,Ronzoni,146
pasta,Dececco,pasta,Private Label Value,146
syrups,Michele's,pasta sauce,Private Label Premium,145
pasta sauce,Candoni,pasta,Hodgson Mills,145
pasta,Alessi,pasta,Creamette,144
pasta,Al Dente,pasta sauce,Private Label,144
syrups,Brier Rabbit,pasta,Private Label Value,144
pasta,Mrs Weiss,pasta sauce,Prego,143
pancake mixes,Mrs Butterworth,syrups,Smuckers,143
pasta,Barilla Plus,syrups,Maple Grove,142
syrups,Hungry Jack,pasta,Kraft,141
pasta,Pennsylvania Dutch,syrups,Private Label Premium,141
pasta,Dreamfield,pancake mixes,White Lily,141
pasta sauce,Private Label Premium,syrups,Sobrab Bkstrp,140
pasta sauce,Classico,pasta,Defino,140
pasta,Kraft,syrups,Log Cabin,140
syrups,Michele's,pasta,No Yolks,139
syrups,Log Cabin,syrups,Sobrab Bkstrp,139
pasta sauce,Classico,pasta,Maggi Spaetzle,139
pasta,Alessi,pasta,Private Label Premium,139
pasta,Dececco,pancake mixes,Krusteaz,139
pasta,Barilla Plus,pancake mixes,Maple Grove,138
syrups,Moonlite,pasta,Private Label Premium,138
pasta,Notta,pasta,Ronzoni,138
pasta,Al Dente,pasta sauce,Private Label Premium,137
syrups,Maple Grove,pancake mixes,Private Label,137
pasta,Healthy Harvest,pancake mixes,White Lily,137
pasta sauce,Emeril's,syrups,Maple Grove,137
pasta,Pennsylvania Dutch,pancake mixes,Private Label,136
pancake mixes,Krusteaz,syrups,Maple Grove,135
pasta,Notta,pasta sauce,Ragu,135
pancake mixes,Bruce's,pasta sauce,Prego,135
pasta sauce,Newman's,syrups,Sobrab Bkstrp,134
pancake mixes,Maple Grove,syrups,Smuckers,134
syrups,Hungry Jack,pancake mixes,Maple Grove,134
pasta,Al Dente,pancake mixes,Aunt Jemima,134
syrups,Michele's,syrups,Smuckers,134
pasta,Maggi Spaetzle,pasta,San Giorgio,134
pasta,Defino,pasta sauce,Private Label,133
pasta sauce,Chef Pizza,pancake mixes,Private Label,133
pasta,Eddie,pasta,Private Label,133
pasta sauce,Bertolli,pasta sauce,Patsy's,133
pasta,Dececco,syrups,Grandma Molases,132
syrups,Private Label Value,pancake mixes,White Lily,132
syrups,Cozy Cottage,pancake mixes,Private Label Premium,132
pasta sauce,Colavita,pasta sauce,Ragu,132
syrups,Cary's,syrups,Private Label Value,132
pancake mixes,Pioneer,pasta,Private Label Value,131
pasta sauce,Emeril's,syrups,Pennant,131
syrups,Maple Grove,syrups,Smuckers,130
pancake mixes,Maple Grove,pancake mixes,Private Label,129
syrups,Grandma Molases,syrups,Maple Grove,129
pancake mixes,Bruce's,pasta,Private Label Premium,128
pancake mixes,M W Flapstax,syrups,Pennant,128
pasta,Hodgson Mills,syrups,Michele's,127
pasta,Mrs Weiss,syrups,Private Label,127
pancake mixes,Hungry Jack,syrups,Sobrab Bkstrp,126
pasta sauce,Classico,pasta sauce,Colavita,126
pasta sauce,Boves,pasta,Private Label Premium,126
pasta,Pasta Shoppe,pasta,Private Label,126
pasta sauce,Boves,pasta sauce,Ragu,125
pasta,Barilla,pasta sauce,Mom's,125
syrups,Cozy Cottage,syrups,Maple Grove,125
syrups,Michele's,pancake mixes,Private Label,125
pancake mixes,Aunt Jemima,pancake mixes,M W Flapstax,125
syrups,Hungry Jack,syrups,Michele's,124
pasta,Kraft,pasta sauce,Newman's,124
syrups,Cary's,pancake mixes,Mrs Butterworth,123
pasta,Healthy Harvest,pancake mixes,Maple Grove,122
pancake mixes,Bruce's,syrups,Private Label,122
pancake mixes,Bisquick,pasta,DaVinci,122
pancake mixes,M W Flapstax,pasta,No Yolks,122
pancake mixes,Bruce's,pasta sauce,Classico,122
pancake mixes,Hodgson Mills,syrups,Maple Grove,121
syrups,HSE,pasta sauce,Ragu,121
pasta,San Giorgio,syrups,Sobrab Bkstrp,121
pancake mixes,Bisquick,syrups,Private Label Value,120
pasta sauce,Chef Pizza,pasta,Hodgson Mills,120
syrups,Aunt Jemima,pasta sauce,Buitoni,120
syrups,Hungry Jack,syrups,Maple Grove,120
syrups,Alaga,syrups,Log Cabin,119
pasta sauce,Barilla,pasta sauce,Buitoni,119
pasta sauce,Classico,pasta,Mrs Weiss,118
pasta,Al Dente,syrups,Karo,118
pasta sauce,Boves,pasta,Mueller,118
pasta,Al Dente,syrups,Private Label Premium,118
pancake mixes,Bisquick,pancake mixes,Mrs Butterworth,118
syrups,Cary's,pancake mixes,Private Label Premium,118
pasta sauce,Bertolli,pancake mixes,M W Flapstax,118
pasta sauce,Patsy's,pasta sauce,Prego,117
pasta,Maggi Spaetzle,pasta sauce,Prego,117
pasta,Healthy Harvest,pancake mixes,Private Label Premium,117
pasta,Kraft,pancake mixes,Private Label,117
syrups,Alaga,pasta,Private Label Value,117
pasta sauce,Hunt's,syrups,Miller,116
pasta sauce,Candoni,pasta,San Giorgio,116
pancake mixes,Hodgson Mills,pancake mixes,White Lily,116
pancake mixes,Bisquick,syrups,Grandma Molases,116
pasta sauce,Colavita,pasta,Private Label Premium,115
pasta sauce,Barilla,pasta,Colavita,115
pasta,Dececco,pancake mixes,Private Label,115
syrups,Miller,pancake mixes,Private Label,115
pasta,Healthy Harvest,syrups,Maple Grove,115
pasta sauce,Colavita,pasta,Mueller,114
syrups,Cary's,pancake mixes,Pioneer,114
pancake mixes,M W Flapstax,pancake mixes,Private Label,114
syrups,Michele's,pasta sauce,Newman's,114
syrups,Moonlite,pasta sauce,Private Label,114
pasta sauce,Candoni,pasta,No Yolks,113
syrups,Cozy Cottage,pasta,Dececco,113
pasta sauce,Bertolli,pasta sauce,Boves,113
pasta sauce,Classico,pasta,R&F,113
pasta,Kraft,pasta sauce,Private Label Premium,113
pasta sauce,Candoni,syrups,Mrs Butterworth,112
syrups,Moonlite,pasta,San Giorgio,112
syrups,Alaga,pasta,San Giorgio,112
pasta,Healthy Harvest,syrups,Sobrab Bkstrp,112
syrups,Brier Rabbit,syrups,Kellogg,111
pasta,Dececco,syrups,Spring Tree,111
pasta sauce,Candoni,syrups,Private Label Premium,111
syrups,Alaga,pasta sauce,Barilla,111
pasta sauce,Mom's,pasta,Ronzoni,111
pasta,Al Dente,pasta sauce,Hunt's,110
syrups,Hungry Jack,pancake mixes,M W Flapstax,110
pasta sauce,Bertolli,pasta,Defino,110
pasta sauce,Emeril's,pancake mixes,Maple Grove,110
syrups,Brier Rabbit,pasta sauce,Emeril's,109
pasta,Al Dente,pasta,No Yolks,109
pasta,Creamette,pasta,Pasta Shoppe,109
pasta,Barilla,pasta,Eddie,108
pasta,Mrs Weiss,pasta,Pennsylvania Dutch,108
pasta,Healthy Harvest,pasta,Pennsylvania Dutch,108
syrups,Karo,syrups,Moonlite,108
pasta,Pennsylvania Dutch,pasta,R&F,108
pasta,Colavita,pasta sauce,Private Label,108
pancake mixes,Hungry Jack,syrups,Miller,108
pancake mixes,Private Label Premium,syrups,Spring Tree,108
pasta,Al Dente,syrups,Mrs Butterworth,108
syrups,Brier Rabbit,pasta,DaVinci,108
syrups,Brier Rabbit,syrups,Grandma Molases,108
pancake mixes,Classique,pasta sauce,Prego,107
syrups,Karo,pasta,R&F,107
pasta sauce,Chef Pizza,pasta,Private Label Value,106
pasta,Kraft,syrups,Northwoods,106
syrups,Pennant,pasta,Pennsylvania Dutch,106
pasta sauce,Candoni,syrups,Northwoods,106
syrups,Kellogg,pancake mixes,Maple Grove,106
pancake mixes,Private Label,syrups,Sobrab Bkstrp,106
pasta,Eddie,pasta,Private Label Premium,106
pasta,Notta,pasta,Private Label Premium,105
syrups,Aunt Jemima,pasta,R&F,105
pasta,Barilla,pasta sauce,Raos,105
pancake mixes,Pioneer,syrups,Spring Tree,104
syrups,Private Label Value,syrups,Spring Tree,104
syrups,Mrs Butterworth,pasta,R&F,104
pancake mixes,Hodgson Mills,pancake mixes,Pioneer,104
pasta,Private Label Value,syrups,Sobrab Bkstrp,104
syrups,Kellogg,pasta,Pennsylvania Dutch,103
pasta,No Yolks,pasta,R&F,103
syrups,Kellogg,syrups,Michele's,103
pancake mixes,M W Flapstax,pasta,Mueller,103
pasta,Pasta Shoppe,pasta sauce,Ragu,103
pancake mixes,Mrs Butterworth,syrups,Spring Tree,102
syrups,Cary's,pasta,Dececco,102
pasta sauce,Colavita,pasta sauce,Prego,102
pasta sauce,Emeril's,syrups,Michele's,102
syrups,Hungry Jack,pancake mixes,Pioneer,102
pancake mixes,Pioneer,pasta sauce,Private Label Premium,102
syrups,Kellogg,pancake mixes,Pioneer,102
pasta,DaVinci,syrups,Grandma Molases,102
syrups,Brier Rabbit,syrups,Pennant,102
pasta sauce,Chef Pizza,pasta sauce,Newman's,102
pasta,Barilla,pasta,Pasta Shoppe,101
pasta,Barilla Plus,syrups,Pennant,101
syrups,Miller,pasta,Private Label Premium,100
pasta,Defino,pasta sauce,Hunt's,100
syrups,Grandma Molases,pancake mixes,White Lily,100
pancake mixes,Classique,pasta,Private Label Premium,99
pasta sauce,Boves,pasta sauce,Prego,99
pasta,Dececco,syrups,Maple Grove,99
pasta,Dececco,syrups,Smuckers,99
pasta sauce,Chef Pizza,pasta,Ronzoni,99
pasta,Barilla Plus,pancake mixes,Pioneer,99
pasta sauce,Buitoni,pasta sauce,Newman's,99
pasta sauce,Candoni,pancake mixes,Hungry Jack,99
pasta sauce,Classico,pasta,Notta,99
pasta,Creamette,syrups,HSE,98
syrups,Maple Grove,pasta,Private Label Value,97
pancake mixes,Mrs Butterworth,pancake mixes,White Lily,97
pasta,Dececco,syrups,Pennant,96
pasta sauce,Raos,pasta,Ronzoni,96
syrups,Aunt Jemima,pasta,Colavita,96
pasta sauce,Hunt's,syrups,Moonlite,96
syrups,Aunt Jemima,syrups,Moonlite,95
syrups,Private Label Value,syrups,Smuckers,95
syrups,Aunt Jemima,pancake mixes,Bruce's,95
pasta,DaVinci,pancake mixes,Hodgson Mills,95
pasta,Eddie,pasta sauce,Ragu,95
pancake mixes,Classique,syrups,Private Label,95
pancake mixes,Aunt Jemima,pasta,Colavita,94
syrups,Hungry Jack,syrups,Sobrab Bkstrp,94
pancake mixes,Krusteaz,syrups,Michele's,94
pasta sauce,Mom's,pasta,Private Label,94
pasta,Alessi,pasta sauce,Prego,94
pasta sauce,Bertolli,pasta sauce,Colavita,93
pancake mixes,Hodgson Mills,pancake mixes,Mrs Butterworth,93
syrups,Aunt Jemima,pasta sauce,Patsy's,93
pasta,Barilla Plus,pancake mixes,Private Label Premium,93
pasta,Colavita,syrups,Private Label,93
pasta,Mueller,pasta,Notta,93
pasta,Al Dente,syrups,Hungry Jack,93
pasta,Pasta Shoppe,pasta,Private Label Premium,93
pasta sauce,Barilla,pancake mixes,M W Flapstax,92
pasta sauce,Candoni,pasta sauce,Hunt's,92
pancake mixes,Aunt Jemima,pasta,R&F,92
pasta sauce,Candoni,syrups,Log Cabin,91
pasta sauce,Candoni,syrups,Karo,91
syrups,Kellogg,pasta,Kraft,91
pancake mixes,Bisquick,pancake mixes,M W Flapstax,91
pasta,Al Dente,pasta,Healthy Harvest,91
pasta,Healthy Harvest,syrups,Private Label Value,91
pasta sauce,Classico,syrups,Moonlite,91
pasta sauce,Classico,syrups,Miller,91
pasta,Hodgson Mills,pasta,Kraft,91
pasta,Barilla,pasta sauce,Roselli,90
pasta sauce,Bertolli,pancake mixes,Bruce's,90
syrups,Log Cabin,pancake mixes,M W Flapstax,90
pancake mixes,Private Label Premium,pancake mixes,White Lily,90
pasta sauce,Buitoni,syrups,Private Label,90
pancake mixes,Bruce's,syrups,Northwoods,90
pasta,Maggi Spaetzle,syrups,Private Label,89
syrups,Brier Rabbit,syrups,Cozy Cottage,89
pasta sauce,Bertolli,pasta,Maggi Spaetzle,89
pancake mixes,Hodgson Mills,pancake mixes,Private Label Premium,89
pancake mixes,Bisquick,pancake mixes,Hodgson Mills,89
syrups,Aunt Jemima,pasta,Defino,89
pasta sauce,Emeril's,pasta,Pennsylvania Dutch,89
pasta,Al Dente,syrups,Log Cabin,88
pasta sauce,Candoni,pasta sauce,Emeril's,88
pasta,Alessi,pasta sauce,Classico,88
